Strategy,CAGR,Sharpe Ratio,Max Drawdown,CAGR_norm,Sharpe_norm,Drawdown_norm,Score
MA 10-200,0.1122,0.95,0.1377,1.0,1.0000000000000002,0.0,0.9000000000000001
MA 10-100,0.1018,0.9,0.1966,0.7234042553191489,0.8437500000000002,0.2952380952380953,0.622665273556231
MA 10-50,0.0927,0.86,0.1727,0.4813829787234045,0.7187500000000002,0.17543859649122817,0.4992966125419934
MA 20-100,0.0861,0.74,0.1895,0.3058510638297869,0.3437500000000002,0.2596491228070177,0.21632068868980958
MA 20-200,0.0936,0.76,0.2667,0.5053191489361701,0.4062500000000002,0.6466165413533835,0.21126769716845314
MA 20-50,0.0746,0.69,0.2696,0.0,0.18749999999999978,0.6611528822055139,-0.1045958646616543
MA 50-200,0.0839,0.63,0.3372,0.24734042553191493,0.0,1.0,-0.20106382978723403
MA 50-100,0.0785,0.64,0.3155,0.10372340425531901,0.03125000000000022,0.8912280701754387,-0.21025405935050387
