Strategy,CAGR,Sharpe Ratio,Max Drawdown,CAGR_norm,Sharpe_norm,Drawdown_norm,Score
"MACrossoverStrategy (5, 10)",0.4285,2.04,0.145,1.0,0.9999999999999999,0.0,0.8999999999999999
"MACrossoverStrategy (10, 20)",0.2447,1.23,0.3012,0.29144178874325366,0.3414634146341463,0.5243370258475999,0.13000731506009466
"MACrossoverStrategy (10, 50)",0.2146,1.1,0.2965,0.17540478026214346,0.2357723577235773,0.5085599194360522,0.03548011513583041
"MACrossoverStrategy (20, 30)",0.2009,1.04,0.2534,0.12259059367771785,0.1869918699186992,0.36388049681101037,0.03336802338713364
"MACrossoverStrategy (20, 100)",0.1691,0.81,0.3405,0.0,0.0,0.6562604900973481,-0.19687814702920442
"MACrossoverStrategy (50, 200)",0.1963,0.86,0.4429,0.10485736314572092,0.04065040650406504,1.0,-0.2377318514896791
